image_id,input_path,target_path
01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1,automatic-lens-correction\lens-correction-train-cleaned\01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01148a4ea6b4b2de8fdbb032685b9eceb5148b6f6e_g1_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g1,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g1_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g10,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g10_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g10_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g11,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g11_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g11_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g12,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g12_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g13,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g13_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g13_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g17,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g17_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g17_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g18,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g18_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g18_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g19,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g19_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g4,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g4_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g5,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g5_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g5_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g7,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g7_generated.jpg
011d2910-88ef-4d75-927a-a54d715d5c5e_g9,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\011d2910-88ef-4d75-927a-a54d715d5c5e_g9_generated.jpg
012439ca-95f3-423a-81af-e57ac9e3c533_g4,automatic-lens-correction\lens-correction-train-cleaned\012439ca-95f3-423a-81af-e57ac9e3c533_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\012439ca-95f3-423a-81af-e57ac9e3c533_g4_generated.jpg
012e2e5c-81ae-4224-9432-b2abad4124ac_g7,automatic-lens-correction\lens-correction-train-cleaned\012e2e5c-81ae-4224-9432-b2abad4124ac_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\012e2e5c-81ae-4224-9432-b2abad4124ac_g7_generated.jpg
013bf6db-a76f-402a-ac7b-02d4c6b56012_g19,automatic-lens-correction\lens-correction-train-cleaned\013bf6db-a76f-402a-ac7b-02d4c6b56012_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\013bf6db-a76f-402a-ac7b-02d4c6b56012_g19_generated.jpg
014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g16,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g16_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g16_generated.jpg
014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g19,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g19_generated.jpg
014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g2,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\014d8e91-3ddf-4621-a9ee-dfe4a6e9da6a_g2_generated.jpg
0176bdbb-72ce-4550-aa18-365e938d08e3_g0,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g0_generated.jpg
0176bdbb-72ce-4550-aa18-365e938d08e3_g1,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g1_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g1_generated.jpg
0176bdbb-72ce-4550-aa18-365e938d08e3_g2,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0176bdbb-72ce-4550-aa18-365e938d08e3_g2_generated.jpg
0183859f-2d42-4086-8907-ed10ebeda599_g2,automatic-lens-correction\lens-correction-train-cleaned\0183859f-2d42-4086-8907-ed10ebeda599_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0183859f-2d42-4086-8907-ed10ebeda599_g2_generated.jpg
0183859f-2d42-4086-8907-ed10ebeda599_g7,automatic-lens-correction\lens-correction-train-cleaned\0183859f-2d42-4086-8907-ed10ebeda599_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\0183859f-2d42-4086-8907-ed10ebeda599_g7_generated.jpg
01db585a-f837-4b21-81bb-62b66140afe8_g12,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g12_generated.jpg
01db585a-f837-4b21-81bb-62b66140afe8_g14,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g14_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g14_generated.jpg
01db585a-f837-4b21-81bb-62b66140afe8_g15,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g15_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g15_generated.jpg
01db585a-f837-4b21-81bb-62b66140afe8_g17,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g17_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g17_generated.jpg
01db585a-f837-4b21-81bb-62b66140afe8_g7,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db585a-f837-4b21-81bb-62b66140afe8_g7_generated.jpg
01db8fd7-30e2-4814-9eed-a6b1305682f6_g19,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g19_generated.jpg
01db8fd7-30e2-4814-9eed-a6b1305682f6_g2,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g2_generated.jpg
01db8fd7-30e2-4814-9eed-a6b1305682f6_g3,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g3_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g3_generated.jpg
01db8fd7-30e2-4814-9eed-a6b1305682f6_g4,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\01db8fd7-30e2-4814-9eed-a6b1305682f6_g4_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g0,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g0_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g10,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g10_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g10_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g11,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g11_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g11_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g12,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g12_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g13,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g13_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g13_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g14,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g14_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g14_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g15,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g15_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g15_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g16,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g16_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g16_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g2,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g2_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g3,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g3_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g3_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g6,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g6_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g6_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g7,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g7_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g7_generated.jpg
02c15d06-5492-4721-b210-b1b5e746bfb2_g9,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\02c15d06-5492-4721-b210-b1b5e746bfb2_g9_generated.jpg
03116770aeffde4c669358c77dc47bd5116c84965f_g6,automatic-lens-correction\lens-correction-train-cleaned\03116770aeffde4c669358c77dc47bd5116c84965f_g6_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03116770aeffde4c669358c77dc47bd5116c84965f_g6_generated.jpg
033ea8dc-6869-44cf-b7ac-984c49d53a9c_g2,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g2_generated.jpg
033ea8dc-6869-44cf-b7ac-984c49d53a9c_g3,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g3_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g3_generated.jpg
033ea8dc-6869-44cf-b7ac-984c49d53a9c_g4,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g4_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\033ea8dc-6869-44cf-b7ac-984c49d53a9c_g4_generated.jpg
034b959c-5905-43bc-91a2-8d1981492bfc_g0,automatic-lens-correction\lens-correction-train-cleaned\034b959c-5905-43bc-91a2-8d1981492bfc_g0_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\034b959c-5905-43bc-91a2-8d1981492bfc_g0_generated.jpg
03a5f36b-834b-4a67-a427-cb19d1ccec25_g2,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g2_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g2_generated.jpg
03a5f36b-834b-4a67-a427-cb19d1ccec25_g5,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g5_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g5_generated.jpg
03a5f36b-834b-4a67-a427-cb19d1ccec25_g8,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g8_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g8_generated.jpg
03a5f36b-834b-4a67-a427-cb19d1ccec25_g9,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g9_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03a5f36b-834b-4a67-a427-cb19d1ccec25_g9_generated.jpg
03aa5d24-7203-4d33-938c-22b56e978ac8_g10,automatic-lens-correction\lens-correction-train-cleaned\03aa5d24-7203-4d33-938c-22b56e978ac8_g10_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03aa5d24-7203-4d33-938c-22b56e978ac8_g10_generated.jpg
03b6000e-68e4-4e79-b2ad-fce94072cb9f_g12,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g12_generated.jpg
03b6000e-68e4-4e79-b2ad-fce94072cb9f_g16,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g16_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g16_generated.jpg
03b6000e-68e4-4e79-b2ad-fce94072cb9f_g19,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g19_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03b6000e-68e4-4e79-b2ad-fce94072cb9f_g19_generated.jpg
03b9540a-9d68-4436-897e-8757eea7137d_g17,automatic-lens-correction\lens-correction-train-cleaned\03b9540a-9d68-4436-897e-8757eea7137d_g17_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03b9540a-9d68-4436-897e-8757eea7137d_g17_generated.jpg
03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g10,automatic-lens-correction\lens-correction-train-cleaned\03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g10_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g10_generated.jpg
03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g12,automatic-lens-correction\lens-correction-train-cleaned\03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g12_original.jpg,automatic-lens-correction\lens-correction-train-cleaned\03f704a7-a36f-4d8d-b0f3-22e7d086a2ba_g12_generated.jpg
